Название;Жанр;Участники;Синглы;Альбомы;Дата основания;Описание;Координаты.x;Координаты.y;Студия.Название;Студия.Адрес;Лучший альбом.Название;Лучший альбом.Длительность
Gylmgcnwzjljjyx;PROGRESSIVE_ROCK;6;12;12;1965-06-25;Qnayohyulw Zsldhdjcfppnxsrzvewfbqpkkoselhpiidtdibm;89.583711;-84;Mljjbbdezjqs;Ejlxqqpcpqxsgwuzdxlhgcmbincxkb; Gsghswwawcyttx;171
Otqtkyaaykkuqbm;POST_PUNK;7;6;7;1964-12-18;Jgbtgthcajooodgma Lgapywpfsmnrcaiawvzrpixfqaxtnbcu;-94.081874;85;Xjmxsmwwrzjs;Cxlkqxzsaznflcejsuunbkszhybwvw;Qbtukkkeib Cadu;63
Nlak Zragilrhfl;BRIT_POP;2;25;17;1992-04-16;Fsnkm Njqyozrejbwbsedtfjmdssxxljiwryvpipwwclachqbc;165.358063;41;Nkb Eghqcllb; Mnkpkifaqrdagttriknswfavohowf;Qgbwdwibcypkgry;171
Kpwoysglvehbfmz;BRIT_POP;5;48;1;1995-09-24;Zftlgiwxevzyfxj Fehiiepdykyzzyzueayczttmnabqrumrot;-147.609102;-52;Toiqxfacdrno;Phcwenqbnkdhdjowcmjxghklqpgkoc;Smmmzdxwtvvlozn;162
Jbuuoeicijsdqqg;PROGRESSIVE_ROCK;7;50;3;1962-08-06;Zemvyrgrbvpqnwwkzbzrtfbokvregefyswmacywvojlr Nlcpk;-27.604654;41;;;Vaarxojstiqsnul;35
Pftykdlcynmayvu;BRIT_POP;5;42;11;1982-02-07;Doiqcmssuoxgfpnmlcqzipiycdvohoxodlfxpl Ogdzfhkzpjj;83.829906;90;Iserhmsbxpzc;Mjcohwyvwgrufslkxvzagmsmebot I;C Caliqjekzoilv;94
Yvykezutsglwxvw;POST_PUNK;3;10;11;1979-06-05;Mjkhwhtcartdtxplcbohodidrt Norilgvqagircxrisvxpofv;176.295378;14;Cakkxjwuknli;Xygsirzgmynkrgchzrafuflxncdxqj;Yurayzrlkiartkx;56
Fzo Qhiyvdasscy;POST_PUNK;2;6;16;1967-07-07;Epvfkpnbcfjgi Pnndqjvmjmnqvidwehpslrahbaztqxoczdzk;-50.372983;14;Kmthfxwhmqcr;Crjxzpdcpbnxalutccnehzldjeozea;Icqieiykouocwxp;178
Bdux Jffhjpbudp;POST_PUNK;8;25;3;1965-04-02;Txtubo Vfrrvajmddimtjiyxheevlrtlbifmosqlmwpgjdaqqt;105.439548;57;Wcitfpsfsxzj;Uhiyzxoieipkoqeftsnjljrwzzvkan;Nfdiykqcvwrjqya;172
Ngiipnjmttdmocv;POST_PUNK;5;8;6;1991-04-11;Lnhmhlmxynaoamwayjmhbswtuxoitodefhtnavmijacoioibkb;25.390528;59;Jsheiehmimvp;Sybxagsqjgkqdnwyqmdrtbsrojw Vl;Yqorjfmucehvk Q;52
Xfywotxptrwcadc;PROGRESSIVE_ROCK;5;47;2;2011-05-14;Ureutaceajwnezoqtyvhsnzogqdqupnzcshylwqlswvribxrgd;-90.538278;48;Yjryjwtdgpop;Vcpvrgnsyydrikhbqyuqhyeyoijfwq;Adlbwgyxcptmtbr;159
Hcg Ihrgdkcbacl;BRIT_POP;6;8;2;1997-04-13;Enfxptnuiuvlpewoeagnoczesmn Wrincqalippzqxqmnrefsv;177.504230;13;;;Cqsusayhevrrpzx;144
Bukqgiytnlvpwii;BRIT_POP;8;11;14;1966-10-23;Uojazcffnbwovfpzimbqlsyngppgehvmblbluuhcrxblnbvkcb;-8.792250;-19;;;Pmifxqesfcvnofu;64
Xgfgnaivqvvxhqb;PROGRESSIVE_ROCK;5;45;4;1968-08-15;;-102.526775;5;Mvijiqtyaldi;Fwqlhizmxmrvscjmasrskjsoqmwztv;Pomgcjqnuivxhpn;158
Esdtrjalgazypgq;PROGRESSIVE_ROCK;1;1;15;1995-06-19;Sftaicfcnzudhrianhwmogfkbsdgllfmbdwdsazanqcliwlzvi;52.064991;22;Lzrdtfutejss;Tbytamkohokkqjbefrcetxepnckhvi;;
Vrdlujfhliograc;PROGRESSIVE_ROCK;2;9;15;1999-01-16;Dhccagvvsiswtqpfjplqtenxpauqaipdofddrppktsdnrupbjq;23.681677;-17;Tsnsltwdwbda;Tdjaenvlmkqzolhetkpgyumaxqpqwg;K Xxsohjvzjetn ;99
Nujnzgmijhheqeq;PROGRESSIVE_ROCK;6;18;20;2023-02-09;Bthsfmkmllnhbzlivgevscdmdddthktiacbxxuhqnefueegtpe;15.714358;-35;Xgkiecoynudm;Bnksxwijqtlcyvetrnokaxfzbeyqal;Stghdozstvwvimc;107
Kxhjljzfaioayup;BRIT_POP;1;2;11;2007-01-27;Zfdyhbfv Pbbc Lljthoibynxxbdbmtgbhohhafyocvxvivhrd;28.637545;-55;;;Kfijfqtturpcseg;161
Xnefsngfayqlklw;POST_PUNK;1;50;1;2008-02-17;Cmgviirerdhsbwjcybzbzrzmflllk Wyfmdoikfdlebpcxuniu;170.926502;50;;;Hdoxqeq Djarbfw;46
Srlrysqxtyxtply;PROGRESSIVE_ROCK;8;5;6;1961-03-22;Igwyrjltynvsivqwgbjccp Swojurrhjwdovmliogsyhxozcjq;121.331277;-12;Wwxe Lqtuyph;Pwwqxbmqhvwhvdehw Rggshxqzefqd;Hdxnjlwvpjsljbq;164
Jqqjulvalumfmla;PROGRESSIVE_ROCK;1;11;10;1962-06-05;;57.284803;-34;Nuhixuehlpqx;Tukcordkukqzyje Ikhhaypdyartxc;Wadjvzirzqbpwth;153
Owhyy Nbomihvme;;2;44;7;2003-11-24;Hbshusmkaurqwrhnjzprchordwqgtggroafmytbcccaoijspsk;49.641167;55;;;Lvriqtelccuclwz;68
Znryxjikkykktup;;2;27;16;2012-08-02;Iclghpvh Ctmjzkyyldesbrbrzvngkrdegioqaagqpwdoihsem;83.039682;82;Hdljgcsbminn;Befadjoxeztoguyaguenqilwovfwmr;Cqwxcjgnabdidig;154
Sdyixpxxlcejphw;BRIT_POP;1;42;1;1970-10-07;Hkqiesyyqphekyyughbjtuzbzxxkeekqyodo Uvjeguxiukixv;-116.003893;-8;Oxf Yhkmvkgv;Uvssrlgxzlm Rgvedaewkatwzpsfcc;Qrzoowqqcuxnppj;97
Vwigjmjp Kzzpdk;PROGRESSIVE_ROCK;;37;12;1982-10-27;Aguzswwhabpeykyewgwflkuatvvuqogupstsnvsrtmqjoyoxth;-163.415666;-48;Qnfmlyeprqyg;Ffvfuswzsknwvcqygkquovghngwjrm;Gkrnlrwcylxogbk;32
Rjlaovyehyzycmn;POST_PUNK;8;22;14;1980-11-16;Fwebfzyyqnhkdjolxmxcqacsrybhnkyljqjhryzbkmcxhseubc;-28.041339;45;Prarxmbyizvf;Klyaqxnptbvizssrsyxfhrxqqzugut;Jxfuzovza Mhskj;111
Pojjzodu Tnqz Z;BRIT_POP;2;42;1;2020-10-18;Mkgobxgkyeutnfevgszjrrdrbyahgdmnrkxxwjd Maupjipbrn;97.150741;12;Sokzypreua G;G Yekdvjjodxleaejbrhhhznydnzvn;;
Ulau Qxhgkasdyp;POST_PUNK;3;40;3;2002-01-02;Uwcpxyv Qeroidzwsxolkuxifunaxowutbmmjijzbzeotconn ;59.672195;62;Tjodkuzlnabr;Wiuwleqyifkiuilrxheuqepzkjkvfr;G Bnlfbtbtomsdx;104
Srwputwmawdyuja;POST_PUNK;5;34;9;2017-12-18;Dbsfswsswoifrphwgrzwmxciwachubjantjmr Wbfpmyadehsx;115.117513;-1;K Frbhiwaexu;Azpfq Wgzwbhhuzfgdxjjjstseazcz;Ilshulmrnsc Jqw;35
Giratpmzpncukwg;;4;38;17;1987-10-16;Qnnnnyiuafzyxfqcezvnhqyksdgtwanxrgcctpiyhrcfhgdrib;-59.097073;34;Tcsa Bjtsmsr;Wqtlaatzgswobyhegggvtfibnpfrli;Eikvjkohdbwnabv;99
Zcbvzitcludxshp;POST_PUNK;1;3;7;2019-10-11;;99.059310;-17;;;Qgbnhrl Ungntie;171
Yzyvgpykolrkwex;PROGRESSIVE_ROCK;6;26;4;2004-04-13;Oxzhvf Uuyndbehqzqssur Clpsqipuviqq Ixkrkhtxajkuyw;93.188607;-18;Hmfacozolgkv;Fthm Edoulthbruumyirnftufhmxxk;Bnpijvwvbmtmq E;178
Aeojyahibsjpimh;PROGRESSIVE_ROCK;1;37;5;1983-02-12;Vuzvdstbxwnfguvzslqeypnzjyllkvnlqovqrdxeljudcumzqv;-27.072174;17;Pzpmzgrylgzi;Laxx Joegvhxjevrwszizxbwrgwnqd;Qpkherutyuueolm;143
Zmlbzgljnwwcpox;;5;10;2;1987-05-08;Kdxinlfsdsnhtwkd Ztjmjgodrzdriqasj Yrtqmkdmiqdc Ev;-26.578517;-76;Mjzg Dvciqmj;Utxpoczxauzusryustiluraynjsxev;Oscfwekxarpwhjp;69
Oldkfvdjvwimsbe;POST_PUNK;5;19;12;2006-11-20;Exlckmrjvxquvgyamrzvjxlnboditeoyprvvlecgkqpwlvcfwt;129.568788;-33;Vzgymdtdxsov;Swewxgssgvuudawqfndmajagymhels;Psfpqvbztfdfkgr;146
Vuvbsduwkkasful;PROGRESSIVE_ROCK;3;12;16;1982-07-10;Vkgb Fmilyfot Ymuxlktfy Wjjzdlcovbpj Zaifhaxjelaia;91.469526;-81;Rziobvpjvgqu;Sdvmefkcxxjysi Dal Gvpxbakyhbs;;
Fsedtmxbopfjmci;POST_PUNK;1;33;11;2005-03-17;;85.048605;57;Miwrbtgylqpy;Bvdyrmjcscbfabugzvcykonandktaa;Hwqnvlluyiuzlgp;169
Gjbpcaactftuqrn;PROGRESSIVE_ROCK;8;26;14;1975-03-12;Xxtfustqvyeikktqofzredkl Ukdghvjfbvxbjahbwmqquqj D;-122.264510;-76;Pvhnpyuhqluf;Nbo Eqxzyhibjitxmpmkulgzfisrxq;Dcrjexfjtezt Pv;137
Waafilqfjarxsid;PROGRESSIVE_ROCK;6;21;8;2005-03-18;Xkuvaxbezhxrywzaowusbvuljcntbfyjocjkowfmlfdmdhmhiy;72.901972;-87;Rnjmvvcamkvw;Zzgxrpfl Gyesjenolohcksh Atyof;Gqfuqmvwjbxatxr;78
Mjnskutobxrdiyq;POST_PUNK;8;37;15;1986-03-01;Dryrtgaaopmuatjqyq Ybmudhedhbpnwhomwrssscbgygaggkw;-166.800652;58;Zyjmocbbthax;Wcoawpyvirivcauejiwytniqjbd Mz;Rouxdzhehqessmz;135
Pkuesxvcujuzmou;PROGRESSIVE_ROCK;4;37;15;1995-05-06;;52.547162;53;;; L Azcyqvfv Ily;111
Exgpvfryttkegkq;;5;27;2;1994-06-05;;-132.464540;-67;Ydfjocywmfrr;Glawjbpmxrewuw Qtdmyrtogctqnku;Ozjucbxsbibmhao;146
 Swbu Uzhew Zma;POST_PUNK;2;42;20;1966-08-12;Pbzjhntboskitxmqczjppkszoybolpjcnryliaxewulhhlkccf;169.047645;69;Lhvmqzsuseuj;Jqststbvrokccuynbkffndjhdxysig;;
Qdufggfvnqvfcbt;PROGRESSIVE_ROCK;3;16;8;2009-06-24;Znqtpk Jzijjjzpkiswvhkbnvyytrcf Mehwkkgnioxwtqzeqm;115.148758;25;Qedapfrkbijl;Ifqpytjqycqsrqtxvgvvwlfolffqpe;Izwkcmlmiwhgtgn;43
Xtaxjwdfbfhrlqj;POST_PUNK;1;5;11;2012-01-12; Maroijxiezwgkybayscwesuqrfind  Gctugwhcsniagtfqco;19.938986;-54;Cfppjen Bkhx;Ybnipkhpelskqohkhvkmwxxhtipvou;Npvp Reocqyxmej;77
Nynkzfiuumrksah;PROGRESSIVE_ROCK;7;26;20;1988-06-27;Eiylnwxamqitsobyflztk K Ogpdtegyaiuzwwgjmepunciatc;102.474622;-89;Evjcmwfsnzuk;Bttnwudepugescoyrtmtwqifhqrpch;;
Ycdzflwmcpdcffj;POST_PUNK;6;31;10;2011-04-10;Dozrnbgwlh Zqtknmykijj Kbokuthrepuofucyqycsywsjegs;141.039826;-46;Vxc Vpta Nxc;Ijditfbfflfrqpcigxgdeclayampus;Akmvqmbgqsyr Ag;52
Ilrncykxeyw Kng;PROGRESSIVE_ROCK;3;30;6;2021-08-19;Vxcgygzckvgjowckchztztduxpkrhbfcgtnitxejrbwkkvbtyg;-113.175396;-76;Ozilywoasclo;Ewwcmpllznielikangkjbpyqshkdbc;Vygjorscuosqmof;100
Yvcgheklcnvlqqp;;6;27;2;1971-04-25;Yxbscofrtezbfvepwvlpqdylzwdbvcwlpcekficjwnvzfimu F;-37.961271;12;;;Himkpjvjvrrmvsb;133
Sxfwtoyrreueupx;BRIT_POP;5;14;2;2011-04-27;Stfze Wdgd Gcsmlwmttestxdjpewtmwpmzhudbfoaccbeayjl;-52.278745;81;;;Mkwcsibiqggydjo;110
Rcmzllaucviuzql;PROGRESSIVE_ROCK;2;9;3;2001-05-04;Zebormamjjnafpxeoqrbmaageadjreosspudsrywazmknrpsux;-78.209246;62;Qxqfoyqthhjx;Ubacpjbvqiozznjtjvhftosffutcl ;Ymctxvkzsw Tttt;53
J Tlkqgsepxgvbs;BRIT_POP;6;16;16;2023-03-22;Uhurkbaatlwzuluovoedadmgppqtvpxxhcjlzhgpazawvjjzle;-38.476518;-88;Akhultvvjnjh; Rsehsjqgxqupqgiyemnti Ziiahod;Myxnkvjdqijplwq;174
Bdulnvddcpmgeim;POST_PUNK;;11;9;2018-06-25;Pfccjxrpsnkxtie Miz Aoxlwqjerkeuajthrguheiglfrhtjj;130.792584;-69;Dathiesztazg;Skbmvpnowljxkssndzbrjpfqesvxng;A Mqg Bawtcg Fu;62
Wbxmygtwdpn Kde;POST_PUNK;3;34;12;1991-02-26;Cnsxjrbappiminalxiosrsbk Obvvdjoqfbdbykbsqvgnitcom;173.402761;-85;Btnrsrxjpep ;Pzgrfhmpdspavopssioipzmywidszd;;
Fzhwcxobfhmwoku;POST_PUNK;5;47;4;1999-01-17;Gyjgassyyzuismsdwepngrjgklowddprhlbludoujrxbhiwjqo;78.500506;54;Vpthvrxw Kfu;Hivarlnnoovzeanktiasuasxonbkwf;Orcbqqpdngvaofr;97
Nbaybkamhmexlit;PROGRESSIVE_ROCK;4;26;15;2010-08-28;Nxzllancxpgbaovoawkgvzc Bfregftqgxloiggparkttvxhxc;-41.396335;2;Cafsslgnslsa;Djyhckoqmswvzrhspbnugfpbnavaxi;Nvnsmcegthxudrf;37
Ffuygxmfwwl Smw;POST_PUNK;7;33;9;1987-04-06;Pmnnaqxvdltemcscjbjaorbccycwjaxicpdzwxyvijnolkc Rx;-124.800538;35;Aflisjfeurtl;Dijsofcbagzm Emlsqcbas Kedagpl;Iirkmgpfxficqqc;43
Xwjythuwyaifkvt;BRIT_POP;;20;18;2023-01-11;Oatazafzxqynagldtkqjiyljwlgdfkjqgwwyycsjadtlonbtzs;-177.805494;30;Xqndvowhslng;Lnb Mobcpgnmtvvcvxxetjnvzyenmw;Fhjulofcxvgl Xd;142
Higzqkbwwqoixkm;BRIT_POP;;38;9;2009-09-11;Wkkmzzxukyhtpxbsvzkrgywqzlxknkwvlcphhboprudlnqz Ow;-28.639398;60;Iiuhlzkqbiss;Jobgazucklvwbygjslxbvncpvaemwd;Amzolwwtbola Ek;159
Ocfihzuphevazvz;POST_PUNK;;23;15;1963-11-09;Peqiqgozxiymszyigrnrpuheyqelqon A Onnlqasjvk Yolbj;15.664644;4;Jumly Tdhrjk;Jsmrchjkleapvqdfbawmgxprxtabou;Lscdoanxdbrcppn;55
Rmotxkpakmdbzal;BRIT_POP;7;11;10;2016-07-26;Bcutghverpfoeorvotcfdjqp Dkskjafuguntmkpwgsbmqohhj;-140.752564;-16;Lnxxngvy Jix;Fwu Ufehghond  Sapdvqcumiewkcp;Csmmoaumthqwlmn;51
Vqkfosqmtdhfxfk;PROGRESSIVE_ROCK;8;42;6;2005-06-09;Tkficqdbztrhstsbmdqivwdwiplvrsnaqoqxklotwnarebnjzs;47.591147;43;Xusbrcqpolcx;Uwfyigpouhgjsduvntfzdlyppbkcjb;Uaohrcpeyzynnee;162
Sn Ndxorebxnfve;BRIT_POP;1;2;9;2014-06-27;;122.241345;-89;Zjwdkm Wfexh;Zmnclapcwt Llbrvcokbwklbthbvmi;Dyuknexc Naxcop;59
Dhduqsrxahckaia;POST_PUNK;8;46;18;2003-01-28;Fhakrvwmbjkbecevfifdhlxjigupvusdqqvrkqybrnmljopvbc;103.599411;-72;Eltpwfraysnt;Njldcpsi Qd Rvkdjbpkt Ijkeovqf;Lfisdznjdkgwcmy;112
Fessylpvkom Odi;BRIT_POP;8;2;8;1989-05-18;Kegdfeklsqhlnoszcgyewiwrykyedpxqvwqasxbrijrkhovbhr;126.233252;-61;Sspiaqqyaeyp;Qrjogwtqnrpjoovozduenkxriguwng;Qkekvdcqyaqznym;85
Vqrgtscdcagyxma;PROGRESSIVE_ROCK;;44;20;2014-06-24;Sbalrarnfqfrudplandylerkgbpgbhkallrgwtqotfvdtvavhc;157.164729;80;Oipyfmcfdcgh;Wbvfkmotaxuwyyhyzggz Hdxckkhma;Btexfz Iznhmcsq;116
Pctzzqutzrqldpd;BRIT_POP;8;20;3;2023-05-17;Svhc Qhzxmjgvvsactdkfdkaipfbnzpqyxckuqnmobzrdzavht;-23.767495;-3;Ccahongaydui;Gcihqcmpy Bsxtumyectajxevebbnh;Nqrqgiegqhwaddy;98
Tt Vvzjlmboifru;PROGRESSIVE_ROCK;1;6;17;1976-12-09;Fwdtttigjkqrwtjmwezoekgfpvhrpqzrsxphzorzfpfabcunfi;53.509532;0;Uvqiumywfuwm;A Xkkoruntnjsimcznclxoaszvhwco;;
Jbgpzqpikqkzuqq;PROGRESSIVE_ROCK;8;6;6;2015-10-18;Axwtywwbomwqdqsgsjnfpwhstusoxqswieegl Nxxln Oepidq;-115.596942;14;Vh Kpexgweym;Tugrytskvyjzijdwjmymkkdlhtcthw;;
Mnzkfcxruheyuvq;POST_PUNK;5;1;9;1970-09-05;Apksnynxugjjlhzwkirkvvzhb Rxuzvdkenfmmncbdiekivqoq;-85.817140;-84;;;Tzpdduqbchcfuza;124
Jriwczbwuqtusqh;PROGRESSIVE_ROCK;5;36;13;2019-05-08;Nbihspawrjqoxeeeyplfxoqjsxzzliijanxmgroeqdzvecjejw;-44.444288;15;Dwcjcexfxflv;Hkbbchfpsisormadikjohtrwxsoemv;Mmryuoocfkpykcb;65
Rcigyrwosthssgf;POST_PUNK;4;48;5;1973-05-08;Tsxcwteanytaedteqpxloatflflqkgpkvkdsxeeoalmwfltarw;85.808867;-43;Bcnzifafdrlk;Iqkuecgkhpivvcvgwocedqlvsnfexb;Mohuaqvfvdhrmnm;172
Gmbpfabxcbvsjhc;BRIT_POP;7;17;20;1995-02-02;Bplrqgohmflq Qcrtqfhic Zfyvjeocdvngvumhaftqnxczhae;-70.529126;-80;Sbfzthvoruxj;Xu Loubcgavzuytozkqrjoqilsnexz;Hurzvmlsajjuzny;161
Ksprlwwvxnzfgmp;POST_PUNK;6;22;20;2023-08-01;Ogumjjqwoqkxvfwezzsuhzvuahmtyqykcknxzwhnntdbxmxmzu;-94.009691;42;Abwmxjsxtmqm;Izsqgybrd Ugpujcvzowazhjcmfcvs;Acya Qacbjcz Cy;61
Tjzzfyeygakbaqe;;5;18;14;1973-12-09;Jwzdngjeaxxffuhpbmqilturslrcsbbr N Hpyoopgehsttvdr;-91.927766;0;Yqyanmuvqzbg;Pcmldpprddmbwgoccxeotogrsfhzyj;Fzqsrtookfbhtxx;153
Ksbfyxvdebgbpld;BRIT_POP;7;39;2;2014-12-25;Mtulrivwpbdurjflvcbcyqwwnismmibowbdwdaodzonxszlevf;60.362009;-87;;;Gawcqhaznruxfxd;173
Zpwouueihpxydwi;;7;38;1;2014-03-03;Ztrlqqggkpybzzkkjixpvhmprjqednfbvlaayqlrsgyplsnynt;-147.308163;44;Rupoirkqwuqm;Ghjsgpciogkhfhphlgzacfh Iugbjj;;
Phkrmbqsxspthap;POST_PUNK;6;47;7;2003-11-17;Gejsvxvyhflidtv Rjpixjktbgcrlqcttdpbos Gqsinkmzxyz;-114.616844;79;Bnkqkurvb Id;Nslzixdgrrdinsrtafcrlqrcpmglfi;Wiiawsrq Dwizfy;119
Haagzkqgjazuxzo;BRIT_POP;5;19;2;1961-07-27;Oxqzpqqyddkynigisjnzcerfpthpmdpeesoahiawfpcwukyx W;-172.943384;-61;Rsqgnbkpspuo;Srtrcmksqiphzc Tlhvmywjmjucesw;;
Zzvi Eroryaawkt;POST_PUNK;5;43;17;2006-07-26;Ljkvggeilqinvocxefssstnlbrepujjrh Qmehuahcgpoptbyc;-38.365788;28;Yyusqqrgjtvq;Ykmyct Aadkcesmgjj Ilprrztjhxm;Banttbqpalohz Z;119
Lufqlroayyianrc;PROGRESSIVE_ROCK;5;39;11;1975-04-15;Hynm Qwovwplofadhdskqitqoncawjfyrvfwjvpyvoopkpi Fq;100.032209;34;Mhydqtcediwb;Kbquqiaisoofctnnrwasqagrdgrp B;Kngzhikjixmsawu;169
Ntcslxef Bqewuh;BRIT_POP;7;50;17;1990-08-10;Vmxxlqstowgbsdurxzujnwgzrlerwqakobevmdbvbbeyngkv O;91.437375;-67;Ogbzrlfokmla;Fkdfxcpaaqzuybmizzzuqoccwpufag;Muvynharmomcjch;65
Vpqitomn Bdfpnj;BRIT_POP;;47;13;1990-06-08;Kciucveabrjyvcugugrojkwggtmdi Bgofrbbtabqkxthftrpa;119.679136;38;Abesmvadezhn;Odelg Rkisrelcglmluhjmrgxhepmd;Pqznhjhjbocnfqz;168
Cwqqkdrsbndsfzn;POST_PUNK;5;8;12;1965-10-13;Kcbwbnepcouqeoyyejpjlxdjmhedksyjs Qtzauww Zmejmxdg;156.401367;85;Vuemrx Fbfne;X Snxylgeaysdwinrw A Narvfeerf;Nhqifjzzzvmjqjy;45
Qgvvhalwczphade;;1;6;11;2014-07-03;Goibakuhefg Allrncnxpzixcugmnptwhwvfxgcvkmkhpxvpdh;-148.693909;12;Pkngolizgwxw;Bfmhssgfbhxkskxfwuomgv Jezlssj;Frlhpxjyuvkaqzn;50
Rnqcqpiibsglglw;POST_PUNK;3;50;19;1986-09-05;;-57.695858;88;Ocwrosogfpfz;Gscxxrbmaixowwgs Sajekkidfvfas;Jmmykenkjicrzii;83
Tvqnbvprgaytbd ;BRIT_POP;3;8;14;1967-12-24;Aofcsuwtvfulpnifslfuyvgbeskbxgrfermkx Dqkbiskqtcpl;-119.048192;-53;Fotzfkzgazer;Gxultyqcmgrdazemfodzgecbqwoxzc;Jaemcpuxvt Cfqt;53
Nphmipyscc Babi;POST_PUNK;1;48;18;2008-08-27;Xxxwov Kpfcfbakqzoeltwcwhlqkxpiig Xhadqizehntqcnov;-7.162333;38;;;Fezhumaexamqxjs;170
Vakdceifstestkd;;4;14;15;1977-08-27;;121.110408;50;Kibquuovqofd;Jcvkfzhibbahjsmixfzcumuhicdzup;Mhbyzmquwmqlmge;130
Gctfmilaukahprh;BRIT_POP;6;6;3;1967-11-14;Xnejfehojmbwlcvkqyrqvmtjomg Wwkefgqueorytplbohcg A;34.158230;-89;Vgvtdfwgfzhi;Yjjgsqafdyawlsysqfocibukmrtymg;Zqggtwyw Owfywr;114
Nbzmuqifoptwakv;BRIT_POP;8;11;4;2019-04-06;Qiwrpwgiimvxsmawwkrpvaizzapeequwdtjqezkcxbpehznllb;-57.585540;-14;Nkadibeylrum;Rdsikuthprlojnxfyepbfyr Bmcpxn;Qiafmpctidpplbn;125
Twvnxmvoytcjyze;PROGRESSIVE_ROCK;1;47;4;1999-05-09;Djxihynynwdmvkaatkrqutttmjyxhykmhycddnjecyauqlllbw;21.745471;-38;Mlnncwgmobfv;Qjjysafaihhlpo Ekjjvioauimbpfy;;
Jpoysky Iysnoej;POST_PUNK;7;46;2;1984-01-19;Zzxaqskfsjnjhrslctnzvzeiaipdwadbsexbhnpbilxbdenarw;161.042577;14;Aecnhyensyab;Nuxlxzszsdxkwekbtccnmybbqivvbm;;
Moooepplmbxykku;;8;32;20;1980-03-26;;-48.760366;-55;Uzhaaegdjhlz;Pwshiyfxqygokofikynugqi Ebcxmr;;
Pdbkzf Evueiogc;POST_PUNK;4;26;12;1997-11-28;Outnggiwznobrlnvbbcc Uexhdpnzfhyk Rdamhyewekghfsue;66.605470;75;Piqtadzcpkui;Xhzueakkohzfblsdihhroiefctkqin;Mioovzjlptpatoe;127
Iyxrgjciwbojlqk;;3;23;9;2023-10-20;Yovsfoqovlxvrvvuktjcjevshaghcbpmbapyaqcrwjtudruxfn;-47.018708;10;Ovbnxvfczikn;Inefeugcdayqqakivnedelkpwsewes;;
Mhuaienaiqwpfbd;POST_PUNK;;42;4;2019-04-05;Vtwulvkvxdjzxciaslwyljyxcuvmmgvbcngfezhxlpuitpwxnd;-92.133362;-70;Icdwtmlqtbj ;Ngmabxvclpndhjvlbckghsdblybxof;Msqvatzgytcoqlr;142
Uenvmzlnphbajhe;POST_PUNK;;38;16;1988-11-12;Mldorzwcxtidjqrtinfvpzqehbcsblhvvadfmicfbterkwlcvn;149.027518;-3;Pfjzxxljaaxl;Zkycvgjfclmxsovzweyigzuwxqbonh;;
Fgrvniysppabzkq;PROGRESSIVE_ROCK;;38;11;2007-02-28;;-116.131372;54;Pgstagvfzhtu;Ipmemgqokjdvlqxwwgwtpmzupxs Ce;Kuyoofdpgjzqixh;141
Ggtxqpslotufcom;POST_PUNK;1;12;6;1963-10-25;Avpp  Bfyjngxkypcimkuasmkzrwvinuzayaxunlfxyocskgei;110.814962;-47;Mvtfyeweraax;Oqvagwnsmiqgfflkwrmofsugkks Tt;Krsktndguszhjtd;127
Z Inckzopgxnmvm;BRIT_POP;7;12;19;1992-02-05;Xjkdhxxafaquplammozfxcswplzazpohnaivrzglhsirpravrg;-136.610669;24;Hqvozf Qlwdi;Htyghpkuugcifjafmauavhbgbwkuwl;Rjswnont Qetjfd;56
Rjpqhunwfmpzhwf;POST_PUNK;3;11;18;1963-07-07;Trhxenchywvxwslanlijzcacbwhtmuhhiosgtgzcakfnfumakx;-29.903670;62;Vavrnemkw Mc;Iwxsudzjcouvxtijrudvtrjgnddtae;Ttsewkpjshmrzic;137
Efcbkvvqcyvgezk;;5;23;4;1971-09-06;Pwhoysmwyuhjskkxb Jkvesfeqdrdevgcvyzwtimo Cznhalsj;82.154361;51;;;Cbu Xywoelgdpoo;134
Qdsfqqqlpqtfr D;POST_PUNK;7;1;20;1978-08-09;Nzxhphkpw Evdx Sekoukkzxeya Snltahcesroyypabrsbxwj;-14.287665;79;Wydlyefursde;Mw Xrhfqodinzejdddooeikqbdvmie;Gfzdpwsjdhhivfa;38
Rurvhnlisddmvco;BRIT_POP;4;16;1;1997-11-24;Xgycmyvpkwecvgcillvlj Xhbjrspzkldlzxxzkciszbxkweij;154.186916;-41;Aztncojwmibx;Eurjdmvuqbuiheobyeues Dxpgluej;Copvvfsgojzbbai;175
Dkavudnxikbhvhw;BRIT_POP;3;3;15;2019-06-23;Hcnscmcoykspdxdkvhfllpdgjamc Sdjnmhkktshsslqowrfph;84.185930;-78;Tbilkayklwtv;Nwtrcthzsuvixwyxflyzcptshzxzdd;Atw Nnmeplwdzha;56
Rvodqbmmnsxqquo;BRIT_POP;2;20;10;2003-10-16;Cyjfudkfkylluqbtfoioszvtysxfuerwjxoinpqpewwegmoxts;-171.036170;-43;Ogftbxzqgbsj;Swrmiuqbmopyjwvqmrltfxgdvsuplm;Gjerbhvuzvjxrsv;57
Nwfkhwcacnqixki;;4;26;3;2017-09-16;Sbefflwnlyppeudheczeofacohspaepl Djhllktamxrsjhjeu;-70.376984;55;Llzgadrtuhan;Pmpifimjzocysjudnhdquortyjp Vb;;
